term,Estimate,Std. Error,t value,CI_lower,CI_upper,type,threshold,header
(B) Access: Facebook,0.008901002226284493,0.0070868063208896145,1.255996258857423,-0.004989138162659151,0.022791142615228136,non_political,3,"(B) Access 
 (Reference: Direct)"
(B) Access: Portal,-0.1100615745333337,0.003549214429383834,-31.010122584349208,-0.11701803481492602,-0.10310511425174139,non_political,3,"(B) Access 
 (Reference: Direct)"
(B) Access: Search,0.053793905742985676,0.004902874358979857,10.971911944767559,0.044184271999385155,0.0634035394865862,non_political,3,"(B) Access 
 (Reference: Direct)"
(B) Access: Twitter,-0.09497768730754774,0.021431001278024515,-4.431789540553967,-0.1369824498124758,-0.0529729248026197,non_political,3,"(B) Access 
 (Reference: Direct)"
(B) Access: Facebook,-0.007086929745966048,0.01944169073239708,-0.3645222961065104,-0.045192643581464326,0.031018784089532233,non_political,120,"(B) Access 
 (Reference: Direct)"
(B) Access: Portal,-0.1405714607251758,0.008816776831315468,-15.943633758075109,-0.1578523433145541,-0.12329057813579747,non_political,120,"(B) Access 
 (Reference: Direct)"
(B) Access: Search,0.12342974755225955,0.01188748266449052,10.383169509972074,0.10013028152985813,0.14672921357466095,non_political,120,"(B) Access 
 (Reference: Direct)"
(B) Access: Twitter,-0.10256736927982193,0.054566378300888646,-1.879680720502419,-0.20951747074956367,0.004382732189919816,non_political,120,"(B) Access 
 (Reference: Direct)"
(B) Access: Facebook,-0.05464404324446497,0.022979038510511127,-2.377995198514053,-0.09968295872506677,-0.009605127763863165,political,3,"(B) Access 
 (Reference: Direct)"
(B) Access: Portal,-0.13008806378024992,0.010198183288775295,-12.756003701505572,-0.1500765030262495,-0.11009962453425035,political,3,"(B) Access 
 (Reference: Direct)"
(B) Access: Search,-0.010166335672918,0.016776245311095717,-0.6059958878995433,-0.043047776482665605,0.02271510513682961,political,3,"(B) Access 
 (Reference: Direct)"
(B) Access: Twitter,-0.1557694779495726,0.05014687402463044,-3.106264966248224,-0.25405735103784827,-0.05748160486129694,political,3,"(B) Access 
 (Reference: Direct)"
(B) Access: Facebook,0.07634497133171528,0.05429512592460199,1.4061109543743069,-0.030073475480504624,0.18276341814393518,political,120,"(B) Access 
 (Reference: Direct)"
(B) Access: Portal,-0.17188481185353213,0.02232630665942132,-7.698757097426129,-0.21564437290599792,-0.12812525080106635,political,120,"(B) Access 
 (Reference: Direct)"
(B) Access: Search,0.13377376727855325,0.037472380679406454,3.5699297683552507,0.06032790114691661,0.2072196334101899,political,120,"(B) Access 
 (Reference: Direct)"
(B) Access: Twitter,0.18095641278987845,0.14958702451910674,1.2097066130676655,-0.11223415526757075,0.47414698084732765,political,120,"(B) Access 
 (Reference: Direct)"
(C) Political Interest: High,0.16435738204198932,0.02971698181890281,-5.530756220251226,0.22260266640703882,0.10611209767693983,non_political,3,"(C) Political Interest 
(Reference: Low Political Interest)"
(C) Political Interest: High,0.20036487376789497,0.03719130411764399,-5.387411883544022,0.2732598298384772,0.12746991769731275,non_political,120,"(C) Political Interest 
(Reference: Low Political Interest)"
(C) Political Interest: High,0.19180884922996727,0.052637797241590345,-3.643937612921512,0.29497893182348434,0.08863876663645019,political,3,"(C) Political Interest 
(Reference: Low Political Interest)"
(C) Political Interest: High,0.10030152704370382,0.0890981135217131,-1.1257424324619452,0.27493382954626144,-0.07433077545885383,political,120,"(C) Political Interest 
(Reference: Low Political Interest)"
